기지국명,NE_ID,VLAN_ID,IP,GW,RS_IP,DU TYPE,CH_0,CH_1,CH_2
SLB_W광주우산국사2B1,33156,1036,10.111.8.240,10.111.8.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주우산국사2B2,33157,1036,10.111.8.244,10.111.8.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주우산국사2B3,33158,1046,10.111.11.104,10.111.11.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주우산국사2B4,33159,1046,10.111.11.112,10.111.11.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주우산국사2B5,33160,1046,10.111.11.106,10.111.11.65,10.113.227.8,DU25,850M,2.6G,
SLB_W광주우산국사2B6,33161,1036,10.111.8.242,10.111.8.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주하남뱅크A0,33163,1052,10.111.12.200,10.111.12.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주하남뱅크B3,33164,1052,10.111.12.208,10.111.12.193,10.113.227.8,DU25,850M,2.6G,
SLB_W광주하남뱅크A1,33165,1052,10.111.12.216,10.111.12.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주하남뱅크A2,33166,1052,10.111.12.224,10.111.12.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주하남뱅크A3,33167,1052,10.111.12.232,10.111.12.193,10.113.227.8,DU25,850M,2.6G,
SLB_W광주하남뱅크A4,33168,1052,10.111.12.240,10.111.12.193,10.113.227.8,DU25,850M,2.6G,
SLB_W광주하남뱅크A5,33170,1031,10.111.7.176,10.111.7.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주하남뱅크A6,33171,1031,10.111.7.136,10.111.7.129,10.113.227.8,DU25,850M,2.6G,
SLB_W광주하남뱅크B0,33172,1031,10.111.7.144,10.111.7.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주하남뱅크B1,33173,1031,10.111.7.152,10.111.7.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주하남뱅크B2,33174,1031,10.111.7.160,10.111.7.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLR_W광주무등산A0,16644,1053,10.110.13.8,10.110.13.1,10.113.225.8,DU25,850M,2.6G,
SL_W광주불로A0,16645,1001,10.110.0.16,10.110.0.1,10.113.225.8,DU25,850M,2.6G,
SL_W광주불로A1,16646,1001,10.110.0.24,10.110.0.1,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주소태동A0,16647,1015,10.110.3.152,10.110.3.129,10.113.225.8,DU25,850M,2.6G,
SL_W광주소태동A1,16648,1015,10.110.3.160,10.110.3.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주중흥국사A0,16661,1044,10.110.10.200,10.110.10.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주중흥국사A1,16662,1044,10.110.10.208,10.110.10.193,10.113.225.8,DU25,850M,2.6G,
SLB_W광주중흥국사A2,16663,1044,10.110.10.216,10.110.10.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주중흥국사A3,16664,1044,10.110.10.224,10.110.10.193,10.113.225.8,DU25,850M,2.6G,
SLB_W광주중흥국사A4,16777,1034,10.110.8.106,10.110.8.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주중흥국사A5,16778,1034,10.110.8.114,10.110.8.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주중흥국사A6,16779,1034,10.110.8.108,10.110.8.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주지산뱅크A0,16665,1060,10.110.14.200,10.110.14.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주지산뱅크A1,16666,1004,10.110.0.242,10.110.0.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주지산뱅크A2,16667,1060,10.110.14.208,10.110.14.193,10.113.225.8,DU25,850M,2.6G,
SLB_W광주지산뱅크A3,16668,1004,10.110.0.224,10.110.0.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주지산뱅크A4,16669,1004,10.110.0.232,10.110.0.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주지산뱅크A5,16670,1060,10.110.14.216,10.110.14.193,10.113.225.8,DU25,850M,2.6G,
SLB_W광주대의뱅크A0,16671,1058,10.110.14.72,10.110.14.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주대의뱅크A1,16672,1003,10.110.0.168,10.110.0.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주대의뱅크A2,16673,1003,10.110.0.176,10.110.0.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주대의뱅크A3,16674,1003,10.110.0.170,10.110.0.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주대의뱅크A4,16675,1058,10.110.14.80,10.110.14.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주금남뱅크A0,16676,1002,10.110.0.80,10.110.0.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주금남뱅크A1,16677,1002,10.110.0.104,10.110.0.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주금남뱅크A2,16678,1059,10.110.14.136,10.110.14.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주금남뱅크A3,16679,1059,10.110.14.144,10.110.14.129,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주대동고A0,16684,1025,10.110.6.24,10.110.6.1,10.113.225.8,DU25,850M,2.6G,
SL_W광주대동고A1,16685,1025,10.110.6.32,10.110.6.1,10.113.225.8,DU25,850M,2.6G,
SL_W광주동성고A0,16686,1024,10.110.5.216,10.110.5.193,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주동성고A1,16687,1024,10.110.5.224,10.110.5.193,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주월산4동A1,16691,1032,10.110.7.216,10.110.7.193,10.113.225.8,DU25,850M,2.6G,
SL_W광주월산4동A0,16692,1032,10.110.7.224,10.110.7.193,10.113.225.8,DU25,850M,2.6G,
SL_O광주지석RB0,16693,2177,33.6.44.8,33.6.44.1,10.113.225.8,DU15,850M,2.6G,
SL_O광주지석B1,16694,1114,10.111.28.96,10.111.28.65,10.113.225.8,DU15,850M,2.6G,
SLR_W광주지석A0,16695,1114,10.111.28.104,10.111.28.65,10.113.225.8,DU25,850M,2.6G,2.1G
SL_M광주광신대B1,33175,1004,10.111.0.208,10.111.0.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_M광주금곡B0,16767,2536,33.26.2.200,33.26.2.193,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주금곡B1,16768,1019,10.110.4.152,10.110.4.129,10.113.225.8,DU30A,850M,2.6G,
SL_M광주동광주C0,16624,1006,10.110.1.88,10.110.1.65,10.113.225.8,DU25,850M,2.6G,2.1G
SL_M광주동광주C1,16625,1006,10.110.1.96,10.110.1.65,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주본촌산단A0,33176,1022,10.110.5.80,10.110.5.65,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주본촌산단A1,33177,1022,10.110.5.88,10.110.5.65,10.113.227.8,DU25,850M,2.6G,
SL_M광주용봉ICB0,33184,1010,10.110.2.80,10.110.2.65,10.113.227.8,DU25,850M,2.6G,2.1G
SL_M광주용봉ICB1,33185,1010,10.110.2.88,10.110.2.65,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주일곡A0,33186,1020,10.110.4.216,10.110.4.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주일곡도서관A0,33187,1021,10.110.5.16,10.110.5.1,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주전남대상대A0,33188,1011,10.110.2.152,10.110.2.129,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주전남대상대A1,33189,1011,10.110.2.160,10.110.2.129,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주전남대상대B0,33190,1011,10.110.2.168,10.110.2.129,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주지야A0,33191,1003,10.111.0.144,10.111.0.129,10.113.227.8,DU25,850M,2.6G,
SL_W광주지야A1,33192,1003,10.111.0.152,10.111.0.129,10.113.227.8,DU25,850M,2.6G,2.1G
SL_M담양주산C0,16780,1101,10.110.25.16,10.110.25.1,10.113.223.18,DU30A,850M,2.6G,2.1G
SLB_W광주두암뱅크A3,16626,1009,10.110.2.32,10.110.2.1,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주두암뱅크A4,16627,1009,10.110.2.40,10.110.2.1,10.113.225.8,DU25,850M,2.6G,
SLB_W광주두암뱅크A0,16628,1009,10.110.2.48,10.110.2.1,10.113.225.8,DU25,850M,2.6G,
SLB_W광주두암뱅크A1,16629,1009,10.110.2.16,10.110.2.1,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주두암뱅크A2,16630,1009,10.110.2.24,10.110.2.1,10.113.225.8,DU25,850M,2.6G,
SLB_W광주오치뱅크A0,33193,1012,10.110.2.234,10.110.2.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크A1,33194,1049,10.110.12.8,10.110.12.1,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크A2,33195,1012,10.110.2.242,10.110.2.193,10.113.225.8,DU25,850M,2.6G,
SLB_W광주오치뱅크A3,33196,1049,10.110.12.16,10.110.12.1,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크A4,33198,1049,10.110.12.24,10.110.12.1,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크A5,33199,1049,10.110.12.32,10.110.12.1,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크A6,33200,1046,10.110.11.106,10.110.11.65,10.113.227.8,DU25,850M,2.6G,
SLB_W광주오치뱅크B3,33203,1046,10.110.11.112,10.110.11.65,10.113.227.8,DU25,850M,2.6G,
SLB_W광주오치뱅크B6,33204,1046,10.110.11.108,10.110.11.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크B0,33205,1046,10.110.11.116,10.110.11.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크B4,33206,1049,10.110.12.40,10.110.12.1,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주오치뱅크B5,33207,1049,10.110.12.48,10.110.12.1,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주기아자동차A0,16707,1047,10.111.11.144,10.111.11.129,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주동림2지구A0,16711,1016,10.111.3.216,10.111.3.193,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주동림2지구A1,16712,1016,10.111.3.224,10.111.3.193,10.113.225.8,DU25,850M,2.6G,
SL_M광주매월농수산A0,16713,1029,10.110.7.24,10.110.7.1,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주매월농수산A1,16715,1029,10.110.7.40,10.110.7.1,10.113.225.8,DU30A,850M,2.6G,
SL_W광주쌍촌상무고A0,16716,1021,10.111.5.24,10.111.5.1,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주쌍촌상무고A1,16717,1021,10.111.5.32,10.111.5.1,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주한국병원A0,16718,1017,10.111.4.24,10.111.4.1,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주한국병원A1,16720,1017,10.111.4.40,10.111.4.1,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주한국병원A2,16721,1017,10.111.4.48,10.111.4.1,10.113.225.8,DU25,850M,2.6G,
SL_W광주양동삼익A1,16723,1014,10.110.3.96,10.110.3.65,10.113.225.8,DU25,850M,2.6G,
SL_W광주양동삼익A0,16724,1014,10.110.3.104,10.110.3.65,10.113.225.8,DU25,850M,2.6G,2.1G
SL_M광주염주체육B0,16726,1031,10.110.7.160,10.110.7.129,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주염주체육A0,16727,1031,10.110.7.168,10.110.7.129,10.113.225.8,DU30A,850M,2.6G,
SL_M광주염주체육B1,16728,1031,10.110.7.176,10.110.7.129,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_W광주운천저수지A0,16729,1020,10.111.4.216,10.111.4.193,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주운천저수지A1,16730,1020,10.111.4.224,10.111.4.193,10.113.225.8,DU25,850M,2.6G,
SL_M광주상무지구A0,16732,1024,10.111.5.216,10.111.5.193,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주상무지구B0,16733,1024,10.111.5.224,10.111.5.193,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주상무지구A1,16735,1024,10.111.5.240,10.111.5.193,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주상무병원A0,16736,1061,10.111.15.8,10.111.15.1,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주상무병원B0,16739,1022,10.111.5.96,10.111.5.65,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주상무병원B1,16740,1022,10.111.5.104,10.111.5.65,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_W광주치평상무역A0,16741,1023,10.111.5.152,10.111.5.129,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주치평상무역A1,16742,1023,10.111.5.160,10.111.5.129,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주치평상무역B0,16743,1023,10.111.5.168,10.111.5.129,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주치평시청A0,16744,1041,10.111.10.16,10.111.10.1,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주치평시청A1,16745,1041,10.111.10.24,10.111.10.1,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주치평시청B0,16746,1041,10.111.10.32,10.111.10.1,10.113.225.8,DU25,850M,2.6G,
SL_W광주치평컨벤션A0,16748,1042,10.111.10.96,10.111.10.65,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주치평컨벤션A1,16749,1042,10.111.10.104,10.111.10.65,10.113.225.8,DU25,850M,2.6G,2.1G
SL_M광주풍암우체국A1,16631,1030,10.110.7.88,10.110.7.65,10.113.225.8,DU30A,850M,2.6G,
SL_M광주풍암우체국A0,16632,1030,10.110.7.96,10.110.7.65,10.113.225.8,DU30A,850M,2.6G,2.1G
SL_M광주풍암우체국B0,16633,1030,10.110.7.104,10.110.7.65,10.113.225.8,DU30A,850M,2.6G,
SL_W광주풍암월드컵A0,16750,1028,10.110.6.216,10.110.6.193,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주풍암월드컵A1,16751,1028,10.110.6.224,10.110.6.193,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주풍암월드컵B1,16752,1028,10.110.6.232,10.110.6.193,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주풍암월드컵B0,16753,1028,10.110.6.240,10.110.6.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주교환국사1C0,16636,1035,10.111.8.168,10.111.8.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주교환국사1C1,16637,1035,10.111.8.172,10.111.8.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주교환국사1C2,16639,1040,10.111.9.232,10.111.9.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주교환국사1C3,16640,1040,10.111.9.240,10.111.9.193,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주교환국사1C4,16641,1035,10.111.8.152,10.111.8.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주교환국사1C5,16643,1035,10.111.8.160,10.111.8.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A0,16756,1033,10.110.8.32,10.110.8.1,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A1,16757,1033,10.110.8.40,10.110.8.1,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A2,16758,1038,10.110.9.106,10.110.9.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A3,16759,1038,10.110.9.114,10.110.9.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A4,16761,1033,10.110.8.48,10.110.8.1,10.113.225.8,DU25,850M,2.6G,
SLB_W광주쌍촌뱅크A5,16762,1038,10.110.9.96,10.110.9.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A6,16763,1038,10.110.9.104,10.110.9.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A7,16764,1038,10.110.9.112,10.110.9.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주쌍촌뱅크A8,16765,1033,10.110.8.42,10.110.8.1,10.113.225.8,DU25,850M,2.6G,
SL_M광주상무지구B1,16781,1024,10.111.5.234,10.111.5.193,10.113.225.8,DU30A,850M,2.6G,2.1G
SLR_W제주외도A0,24751,1858,10.110.214.80,10.110.214.65,10.113.226.8,DU25,850M,2.6G,
SL_W제주외도공동B2,24609,2008,33.6.151.200,33.6.151.193,10.113.226.8,DU25,850M,,2.1G
SL_W제주외도B3,24610,2008,33.6.151.208,33.6.151.193,10.113.226.8,DU25,850M,2.6G,
SLN_W서귀색달SKYA0,24611,2391,33.6.97.136,33.6.97.129,10.113.99.118,DU25,850M,2.6G,
SL_W서귀색달SKYA1,24612,2391,33.6.97.144,33.6.97.129,10.113.226.8,DU25,850M,2.6G,
SL_W서귀색달SKYB0,24613,2391,33.6.97.152,33.6.97.129,10.113.226.8,DU25,850M,2.6G,
SL_M서귀하예A0,24614,2400,33.6.99.208,33.6.99.193,10.113.99.118,DU30A,850M,2.6G,
SL_M서귀하예A1,24615,2400,33.6.99.216,33.6.99.193,10.113.226.8,DU30A,850M,2.6G,
SL_M서귀하예B0,24616,2400,33.6.99.200,33.6.99.193,10.113.226.8,DU30A,850M,2.6G,
SL_M서귀중문A0,24617,1894,10.110.223.80,10.110.223.65,10.113.226.8,DU30A,850M,2.6G,
SL_M서귀중문A1,24618,1894,10.110.223.88,10.110.223.65,10.113.226.8,DU30A,850M,2.6G,
SL_M서귀중문B0,24619,1894,10.110.223.96,10.110.223.65,10.113.226.8,DU30A,850M,2.6G,
SL_M서귀중문관광B1,24753,1950,10.110.237.104,10.110.237.65,10.113.226.8,DU30A,850M,2.6G,2.1G
SL_M서귀중문관광A0,24754,1950,10.110.237.88,10.110.237.65,10.113.226.8,DU30A,850M,2.6G,
